Period,Involvement,Sector,Projects,New_Jobs,Safe_Jobs,Total_Jobs
2016-17,All,Total,2265,75226,32672,107898
2016-17,All,Advanced engineering and supply chain,146,3716,7913,11629
2016-17,All,Aerospace,47,1818,1275,3093
2016-17,All,Automotive,127,5711,8803,14514
2016-17,All,Biotechnology and pharmaceuticals,90,2329,896,3225
2016-17,All,Business and consumer services,211,13603,1353,14956
2016-17,All,Chemicals and agriculture,50,787,1044,1831
2016-17,All,Creative and media,151,3654,89,3743
2016-17,All,Electronics and communications,115,3170,902,4072
2016-17,All,Environment infrastructure and transportation,184,6302,1302,7604
2016-17,All,Extraction industries,49,642,758,1400
2016-17,All,Financial services,217,8847,2661,11508
2016-17,All,Food and drink,144,4620,2417,7037
2016-17,All,Life sciences,116,2457,1365,3822
2016-17,All,Renewable energy,87,2749,344,3093
2016-17,All,Software and computer services,418,10971,1476,12447
2016-17,All,Wholesale,113,3850,74,3924
2016-17,Involved only,Total,1859,63892,27736,91628
2016-17,Involved only,Advanced engineering and supply chain,102,2708,7521,10229
2016-17,Involved only,Aerospace,40,1161,1275,2436
2016-17,Involved only,Automotive,115,5525,8800,14325
2016-17,Involved only,Biotechnology and pharmaceuticals,82,2127,793,2920
2016-17,Involved only,Business and consumer services,131,10354,890,11244
2016-17,Involved only,Chemicals and agriculture,43,759,770,1529
2016-17,Involved only,Creative and media,140,3506,c,c
2016-17,Involved only,Electronics and communications,96,2947,667,3614
2016-17,Involved only,Environment infrastructure and transportation,141,4781,144,4925
2016-17,Involved only,Extraction industries,47,637,708,1345
2016-17,Involved only,Financial services,185,8175,2655,10830
2016-17,Involved only,Food and drink,121,4438,1366,5804
2016-17,Involved only,Life sciences,106,2346,1360,3706
2016-17,Involved only,Renewable energy,83,2595,344,2939
2016-17,Involved only,Software and computer services,357,9450,360,9810
2016-17,Involved only,Wholesale,70,2383,c,c
2017-18,All,Total,2072,75968,15063,91031
2017-18,All,Advanced engineering and supply chain,147,2920,1159,4079
2017-18,All,Aerospace,48,1511,1892,3403
2017-18,All,Automotive,108,4133,2925,7058
2017-18,All,Biotechnology and pharmaceuticals,74,2025,c,c
2017-18,All,Business and consumer services,160,7467,257,7724
2017-18,All,Chemicals and agriculture,48,820,1087,1907
2017-18,All,Creative and media,121,2201,153,2354
2017-18,All,Electronics and communications,112,6948,1054,8002
2017-18,All,Environment infrastructure and transportation,171,10765,1084,11849
2017-18,All,Extraction industries,39,641,892,1533
2017-18,All,Financial services,172,6796,802,7598
2017-18,All,Food and drink,146,7437,2537,9974
2017-18,All,Life sciences,110,1964,384,2348
2017-18,All,Renewable energy,68,1620,c,c
2017-18,All,Software and computer services,381,8336,707,9043
2017-18,All,Wholesale,167,10384,c,c
2017-18,Involved only,Total,1682,67060,14146,81206
2017-18,Involved only,Advanced engineering and supply chain,103,2215,562,2777
2017-18,Involved only,Aerospace,43,1423,1890,3313
2017-18,Involved only,Automotive,98,4040,2919,6959
2017-18,Involved only,Biotechnology and pharmaceuticals,67,1970,c,c
2017-18,Involved only,Business and consumer services,87,5176,233,5409
2017-18,Involved only,Chemicals and agriculture,40,686,936,1622
2017-18,Involved only,Creative and media,116,2199,139,2338
2017-18,Involved only,Electronics and communications,94,6533,1051,7584
2017-18,Involved only,Environment infrastructure and transportation,136,7729,1071,8800
2017-18,Involved only,Extraction industries,32,489,877,1366
2017-18,Involved only,Financial services,152,6433,760,7193
2017-18,Involved only,Food and drink,116,7209,2504,9713
2017-18,Involved only,Life sciences,106,1962,383,2345
2017-18,Involved only,Renewable energy,67,1612,c,c
2017-18,Involved only,Software and computer services,341,7794,696,8490
2017-18,Involved only,Wholesale,84,9590,c,c
2018-19,All,Total,1782,57625,6998,64623
2018-19,All,Advanced engineering and supply chain,130,2187,207,2394
2018-19,All,Aerospace,42,930,c,c
2018-19,All,Automotive,93,2712,1958,4670
2018-19,All,Biotechnology and pharmaceuticals,53,1290,c,c
2018-19,All,Business and consumer services,155,6345,413,6758
2018-19,All,Chemicals and agriculture,43,732,454,1186
2018-19,All,Creative and media,111,1848,c,c
2018-19,All,Electronics and communications,85,4394,156,4550
2018-19,All,Environment infrastructure and transportation,142,6095,710,6805
2018-19,All,Extraction industries,41,1279,355,1634
2018-19,All,Financial services,148,5132,45,5177
2018-19,All,Food and drink,115,3864,460,4324
2018-19,All,Life sciences,115,2188,235,2423
2018-19,All,Renewable energy,41,1017,c,c
2018-19,All,Software and computer services,366,11589,702,12291
2018-19,All,Wholesale,102,6023,1113,7136
2018-19,Involved only,Total,1436,51863,6217,58080
2018-19,Involved only,Advanced engineering and supply chain,101,1824,c,c
2018-19,Involved only,Aerospace,38,899,c,c
2018-19,Involved only,Automotive,84,2649,1955,4604
2018-19,Involved only,Biotechnology and pharmaceuticals,41,1089,0,1089
2018-19,Involved only,Business and consumer services,84,5194,c,c
2018-19,Involved only,Chemicals and agriculture,37,495,405,900
2018-19,Involved only,Creative and media,92,1752,c,c
2018-19,Involved only,Electronics and communications,66,4146,c,c
2018-19,Involved only,Environment infrastructure and transportation,112,4767,c,c
2018-19,Involved only,Extraction industries,36,1197,c,c
2018-19,Involved only,Financial services,129,4946,c,c
2018-19,Involved only,Food and drink,95,3316,352,3668
2018-19,Involved only,Life sciences,106,2183,c,c
2018-19,Involved only,Renewable energy,39,1015,c,c
2018-19,Involved only,Software and computer services,322,11292,679,11971
2018-19,Involved only,Wholesale,54,5099,c,c